Summary	Summary: outcomes, blockers, and insights	true	5	Exceeds Expectations	3–5 concise bullets stating outcomes, blockers, and key insights; consistent with the work log/evidence.	4	Meets Expectations	Summary present and mostly clear, but missing outcomes/blockers/insights and/or includes a few vague or unsupported claims.	1	Does Not Meet Expectations	Missing/unclear or primarily intentions instead of measurable outcomes.
WorkLog-Quantification	Sprint work log: quantification and goal linkage	true	8	Exceeds Expectations	Work items are clearly quantified (e.g., %/done/partial) and tied to sprint goals/commitments.	6.5	Meets Expectations	Progress described and partially quantified; linkage to sprint goals/commitments present but incomplete.	1.5	Does Not Meet Expectations	Progress vague and not connected to sprint goals/commitments.
WorkLog-TitleStatusOwner	Sprint work log: title, status, and author	true	4	Exceeds Expectations	Each major work item has a clear title, unambiguous status (%/done/partial), and clear owner/author.	3.2	Meets Expectations	Most items include title/status/owner, but coverage is inconsistent or status is sometimes vague.	0.8	Does Not Meet Expectations	Many items missing title/status/owner, or status is unclear.
WorkLog-ReviewersLinks	Sprint work log: reviewers and source link	true	3	Exceeds Expectations	Each major work item includes a trackable source link (issue/task/PR/requirement/test/ADR/doc) and reviewers/collaborators where applicable.	2.4	Meets Expectations	Many items include links and/or reviewers, but coverage is incomplete or inconsistently formatted.	0.6	Does Not Meet Expectations	Few or no links and/or reviewers/collaborators.
WorkLog-BlockersReplans	Sprint work log: blockers and replans	true	5	Exceeds Expectations	Blockers documented with concrete replans (what changed, why, and what will be done next).	4	Meets Expectations	Blockers mentioned with a basic response.	1	Does Not Meet Expectations	Blockers/replans missing or unclear.
Artifacts-Coverage	Sprint work log: supporting artifacts (per-item evidence coverage)	true	12	Exceeds Expectations	Each work item has at least one verifiable artifact, or one artifact clearly covers multiple items (explicitly stated).	9.5	Meets Expectations	Many items have artifacts, but coverage is incomplete or doesn’t clearly map to listed items.	2.5	Does Not Meet Expectations	Few or no items have verifiable artifacts.
Artifacts-Relevance	Sprint work log: supporting artifacts (relevance and context)	true	7	Exceeds Expectations	Artifacts are clearly relevant to claims and include brief context (what it shows and why it matters).	5.5	Meets Expectations	Artifacts mostly relevant but context/captions inconsistent.	1	Does Not Meet Expectations	Artifacts unclear, unlabeled, or not tied to claims.
Artifacts-Traceability	Sprint work log: supporting artifacts (traceability and version of truth)	true	6	Exceeds Expectations	Artifacts link to an evaluable source of truth (commit hash for code; stable link + title/date/version/location for write-ups).	4.8	Meets Expectations	Some traceability present, but hashes/links/context incomplete.	1	Does Not Meet Expectations	Artifacts not traceable (missing hashes/links/context or broken links).
Bugs-Snapshot	Bug tracking: bug snapshot is current	true	8	Exceeds Expectations	Includes current open bug count (with link to bug list/query) and prioritized top 3–5 high-impact open bugs; if “No known bugs,” includes link and what was done to check.	6.5	Meets Expectations	Some bug info present, but missing count or top-bug list, and/or not clearly current.	1.5	Does Not Meet Expectations	No meaningful bug snapshot provided.
Bugs-DetailsActions	Bug tracking: per-bug details, traceability, and actions	true	12	Exceeds Expectations	For each top bug: severity/impact, owner, status, and usable link; top 2–3 include concrete next action (who/what/by when).	9.5	Meets Expectations	Most bugs include some details/links, but missing key fields or actions are vague.	2.5	Does Not Meet Expectations	Bug list missing key fields and/or few usable links/actions.
NextSprint	Next sprint plan: prioritized and traceable	true	5	Exceeds Expectations	3–5 prioritized, measurable next-sprint items, each linked to a verifiable source of truth (issue/task/requirement/test/ADR/doc).	4	Meets Expectations	Next-sprint items listed with some prioritization and some links, but specificity/traceability uneven.	1	Does Not Meet Expectations	Next-sprint plan missing, vague, or lacks links.
Reflection-Specificity	Team process reflection: specificity and insight	true	7	Exceeds Expectations	Specific reflection grounded in what happened; identifies the “why,” not just the “what.”	5.5	Meets Expectations	Reflection present but somewhat general.	1	Does Not Meet Expectations	No meaningful reflection.
Reflection-Improvements	Team process reflection: actionable improvements	true	5	Exceeds Expectations	1–2 concrete, actionable improvements with clear next steps.	4	Meets Expectations	Improvements listed but may be vague.	1	Does Not Meet Expectations	No actionable improvements.
Reflection-Application	Team process reflection: next-sprint application	true	3	Exceeds Expectations	Shows how the team will apply improvements next sprint (who/when/how tracked).	2.4	Meets Expectations	Intends to apply improvements but plan is light.	0.5	Does Not Meet Expectations	No plan to apply improvements.
Writing-Structure	Writing: structure and readability	true	4	Exceeds Expectations	Concise, well-structured, polished; clear headings and bullets; optional media (if included) is legible and improves readability.	3.2	Meets Expectations	Mostly clear with some structure; minor readability issues.	0.8	Does Not Meet Expectations	Hard to read; poorly structured.
Writing-Professionalism	Writing: professionalism and clarity	true	4	Exceeds Expectations	Professional tone; claims are precise and easy to follow.	3.2	Meets Expectations	Generally clear; occasional ambiguity or awkward wording.	0.8	Does Not Meet Expectations	Unclear or unprofessional tone.
Writing-Accessibility	Writing: accessibility	true	2	Exceeds Expectations	If media is used: legible with alt text and short captions; links are descriptive.	1.6	Meets Expectations	Some accessibility practices used; minor gaps.	0.4	Does Not Meet Expectations	Missing alt text/captions when media is present and/or inaccessible formatting.
