Change log: present and usable		false	5	Exceeds Expectations	Change log is present and contains the required information (date, version, sections changed, summary of changes, reason, authors).	4	Meets Expectations	Change log is present but inconsistent.	1	Does Not Meet Expectations	Change log missing.			
Roles: clarity and responsibilities		false	8	Exceeds Expectations	Roles are explicit, unambiguous, and cover key responsibilities; a new member could understand who does what.	6.5	Meets Expectations	Roles are defined but have minor gaps or overlap.	1.5	Does Not Meet Expectations	Roles are missing or too vague to be useful.			
Decision-making process		false	6	Exceeds Expectations	Decision model is clear (how decisions are proposed, debated, and finalized) with at least one explicit escalation/override rule.	4.8	Meets Expectations	Decision process exists but is incomplete or lightly specified.	1	Does Not Meet Expectations	No clear decision-making process.			
Communication: cadence and tools		false	5	Exceeds Expectations	Meeting cadence and communication tools/channels are clearly stated, including where decisions are documented.	4	Meets Expectations	Cadence/tools stated with minor ambiguity.	1	Does Not Meet Expectations	Communication plan unclear or missing.			
Definition of Done: required checks		false	8	Exceeds Expectations	DoD includes specific checks for tests, code review, documentation, and relevant quality/security/static analysis.	6.5	Meets Expectations	DoD includes tests and review; some checks are missing or underspecified.	1.5	Does Not Meet Expectations	DoD absent or generic.			
Definition of Done: enforcement evidence		false	6	Exceeds Expectations	Evidence (links/logs/screenshots) shows DoD is actually enforced (e.g., CI gates, review rules).	4.8	Meets Expectations	Mentions enforcement, but evidence is limited.	1	Does Not Meet Expectations	No enforcement or evidence.			
Conflict resolution: steps and tone		false	8	Exceeds Expectations	Conflict plan is restorative, time-bound, and includes clear steps from informal resolution to escalation.	6.5	Meets Expectations	Conflict plan is present with reasonable steps; escalation exists.	1.5	Does Not Meet Expectations	Conflict plan is missing, unclear, or punitive.			
Conflict resolution: measurable triggers		false	6	Exceeds Expectations	Includes measurable triggers (e.g., missed meetings, unreviewed PR backlog) for when to escalate.	4.8	Meets Expectations	Triggers exist but are vague.	1	Does Not Meet Expectations	No triggers for escalation.			
Accountability: evidence-based expectations		false	6	Exceeds Expectations	Accountability is tied to observable evidence (e.g., PRs, reviews, attendance/notes) rather than vague promises.	4.8	Meets Expectations	Accountability is described but evidence ties are partial.	1	Does Not Meet Expectations	No clear accountability expectations.			
Inclusion: meeting norms and turn-taking		false	5	Exceeds Expectations	Norms explicitly accommodate time zones, accessibility needs, and inclusive participation.	4	Meets Expectations	Inclusion norms present but general.	1	Does Not Meet Expectations	No evidence of inclusive norms.			
Inclusion: accommodations process		false	5	Exceeds Expectations	Clear process for requesting accommodations and how the team responds.	4	Meets Expectations	Openness to accommodations stated but process is light.	1	Does Not Meet Expectations	No accommodations process.			
Risk management and escalation paths		false	6	Exceeds Expectations	Key team risks are identified with clear escalation paths and triggers.	4.8	Meets Expectations	Risks are listed with basic escalation guidance.	1	Does Not Meet Expectations	Risks and/or escalation paths are missing.			
Contribution guidelines: CONTRIBUTING completeness		false	6	Exceeds Expectations	CONTRIBUTING.md includes all required elements: prerequisites/setup steps, local commands for CI/linting/formatting, the contribution workflow (branching + PR expectations) with a DoD reference and code review expectations, how to report bugs/requests (issues), and where to ask for help.	4.8	Meets Expectations	CONTRIBUTING.md exists and covers the core workflow and local commands, but is missing one or more required elements (e.g., setup steps, issue reporting guidance, or help/contact info) and/or the DoD/review expectations are lightly specified.	1	Does Not Meet Expectations	CONTRIBUTING.md is missing, empty, or too incomplete to follow (e.g., missing local commands and/or no usable contribution workflow).			
Writing: structure and readability		false	5	Exceeds Expectations	Concise, well-structured, polished; uses clear headings and bullets; stays close to the expected core length (~2–4 pages) while still being complete; images/media enhance readability.	4	Meets Expectations	Mostly clear with some structure; minor readability issues or slightly off-target length.	1	Does Not Meet Expectations	Hard to read; poorly structured.			
Writing: professionalism and clarity		false	5	Exceeds Expectations	Professional tone; claims are precise and easy to follow; requirements and acceptance criteria use consistent formatting and are written in verifiable language.	4	Meets Expectations	Generally clear; occasional ambiguity, inconsistent formatting, or awkward wording.	1	Does Not Meet Expectations	Unclear or unprofessional tone; inconsistent or confusing requirement/AC wording.			
Writing: accessibility		false	5	Exceeds Expectations	Images/media are legible and include alt text and short captions; links are descriptive; private links include lightweight screenshots/snippets so graders can evaluate.	4	Meets Expectations	Some accessibility practices are used; minor gaps (e.g., missing some alt text/captions or vague link text).	1	Does Not Meet Expectations	Missing alt text/captions or inaccessible formatting; evidence not evaluable due to inaccessible/private links.			
